Region,Cell Phone Number,SIM Activation Date,First Name,Last Name,Date of Birth,Source System Name
Johannesburg,27701302724,10 01 2024,Sibonelo,Jiyane,31 05 1965,VMobile
Pretoria,27702088773,15 11 2024,Gugulethu,Dimbani,17 11 1976,VMobile
West Rand,27702970958,16 04 2025,Nokulunga,Mhlungu,11 03 1977,VMobile
Port Elizabeth,27703320064,10 04 2024,Owethu,Khanyile,11 07 1997,VMobile
Cape Town,27704131178,22 09 2024,Lindsay,Blair,31 01 1976,VMobile
Port Elizabeth,27704753382,06 08 2024,Nomathalente,Shoba,06 09 1962,VMobile
Durban,27705752990,02 08 2023,Andrea,Calderon,06 09 1981,VMobile
Pretoria,27706327368,24 06 2024,Henry,Smith,01 02 1949,VMobile
Witbank,27706833765,14 01 2025,Michael,Galloway,29 06 1994,VMobile
Port Elizabeth,27707347477,24 08 2023,David,Nielsen,14 12 1944,VMobile
Pietermaritzburg,27707848987,21 10 2024,Nicole,Ward,04 09 1952,VMobile
Port Elizabeth,27709050860,01 12 2024,Andile,Mangethe,30 07 2002,VMobile
Johannesburg,27709367729,02 02 2024,Carlos,Johnson,28 01 1962,VMobile
Cape Town,27710091970,09 05 2024,Londiwe,Mabhoko,01 12 1940,VMobile
Benoni,27711214656,10 09 2023,Lungile,Shozi,09 11 1970,VMobile
Polokwane,27711572067,04 10 2024,Mitchell,Clark,04 10 1957,VMobile
Johannesburg,27711810165,23 08 2024,Thando,Vilakazi,01 07 1962,VMobile
Bloemfontein,27712305098,29 05 2024,William,Wilson,10 10 1941,VMobile
Ekurhuleni,27713173581,13 05 2025,Julia,Howard,06 03 1944,VMobile
Nelspruit,27714005115,29 03 2024,Gugu,Gcaleka,10 05 1950,VMobile
Kimberley,27714271871,02 04 2025,Patrick,Ferrell,07 08 1975,VMobile
Rustenburg,27716808757,05 11 2023,Guy,Kelly,25 07 1973,VMobile
Soshanguve,27717893653,11 07 2024,Simphiwe,Nondlela,30 12 2002,VMobile
Durban,27718448667,28 10 2023,Michael,Cooper,04 08 1957,VMobile
Ekurhuleni,27719118275,01 11 2023,Nomthandazo,Mbuyise,01 04 1940,VMobile
Johannesburg,27719729993,28 08 2024,Hannah,Young,04 05 1983,VMobile
Bloemfontein,27723956054,05 08 2024,Thuthukile,Nyambose,03 09 1976,VMobile
Johannesburg,27724778385,20 08 2023,Gugulethu,Hlophe,08 02 1961,VMobile
Pretoria,27727400477,21 03 2025,Ruth,Griffiths,20 01 1990,VMobile
Pretoria,27729448431,04 08 2023,Bhekizizwe,Mbokazi,02 03 1998,VMobile
West Rand,27729675831,06 09 2024,Nomagugu,Nkomo,02 07 1990,VMobile
Cape Town,27729817935,26 04 2025,Victor,Watts,25 05 1992,VMobile
Cape Town,27730744349,31 05 2024,Joshua,Booth,25 03 1991,VMobile
Welkom,27732045020,27 03 2024,Mandlakhe,Gotsholo,30 07 1994,VMobile
Witbank,27732577687,25 06 2024,Musa,Jibela,26 11 2003,VMobile
Soshanguve,27733191788,01 06 2025,Musa,Nodlomo,20 10 1999,VMobile
Krugersdorp,27734011187,02 04 2025,Nobantu,Duze,27 07 1967,VMobile
Durban,27734762586,25 12 2024,Mandlakhe,Biyase,11 10 1970,VMobile
Rustenburg,27735515302,11 08 2023,Simphiwe,Ludonga,13 01 1943,VMobile
Pretoria,27736548736,23 07 2023,Sandra,Harper,23 09 1988,VMobile
West Rand,27736988792,24 05 2024,Hannah,Marquez,29 09 1966,VMobile
Johannesburg,27738031248,05 12 2023,Mandla,Gambu,03 08 1984,VMobile
Pretoria,27738452446,08 03 2025,Mthokozisi,Ximba,10 12 1998,VMobile
West Rand,27739126870,19 12 2024,Nancy,Baker,28 08 1973,VMobile
Cape Town,27739493210,05 01 2024,Gregory,Robinson,18 10 1997,VMobile
Durban,27740348711,25 09 2023,Olwethu,Mnomiya,25 05 1941,VMobile
Durban,27740837531,13 09 2023,Chelsea,Jackson,17 03 1989,VMobile
Durban,27743941564,21 01 2025,Sibonelo,Ntombela,08 05 1968,VMobile
Pretoria,27744810767,13 11 2024,Nomalanga,Ndima,22 08 2002,VMobile
Ekurhuleni,27745858892,02 07 2024,Nhlanhla,Mzizi,08 04 2006,VMobile
Pretoria,27746545449,26 05 2024,Gugu,Mthonti,06 09 1981,VMobile
Cape Town,27747009358,14 09 2024,Teresa,Hurst,25 03 1998,VMobile
Vereeniging,27748023717,13 06 2025,Sibusisiwe,Mazibuko,18 06 1943,VMobile
Johannesburg,27749758825,11 01 2025,Nokulunga,Gedeza,23 10 2000,VMobile
Pretoria,27750688826,30 09 2023,Thabisile,Gabhisa,08 09 2000,VMobile
Durban,27752176619,21 11 2024,Nonjabulo,Bayeni,01 07 2004,VMobile
Pretoria,27753154430,02 10 2023,Mark,Davies,22 05 1947,VMobile
Vereeniging,27754907568,27 09 2024,Bhekisisa,Sokhela,16 10 1977,VMobile
Johannesburg,27755830723,29 07 2024,Trevor,Campos,10 03 1998,VMobile
Newcastle,27756759873,06 10 2024,Mlungisi,Vundla,05 07 1958,VMobile
Ekurhuleni,27757293964,08 08 2023,Nobuhle,Mgilija,04 09 1952,VMobile
West Rand,27758159426,06 05 2024,Rachel,Hayes,17 06 1956,VMobile
Cape Town,27758744842,22 08 2024,Siphesihle,Mjwara,25 04 1988,VMobile
Ekurhuleni,27759277187,05 01 2024,Sihawukele,Makhanya,23 10 2005,VMobile
Vereeniging,27759568476,30 06 2024,Kendra,Galloway,18 10 1997,VMobile
Durban,27760905385,13 03 2025,Nathan,Harris,10 05 1950,VMobile
Cape Town,27761465695,06 10 2024,Gugulethu,Mahlase,21 08 1960,VMobile
Cape Town,27761704638,03 02 2024,Monica,Evans,27 01 1983,VMobile
Port Elizabeth,27763355406,15 01 2024,Heather,Thompson,17 03 1989,VMobile
Ekurhuleni,27764031374,07 06 2025,Lungile,Siyaya,20 11 1953,VMobile
Ekurhuleni,27765030894,05 06 2025,Jill,Miah,16 01 1981,VMobile
Durban,27766591547,18 09 2023,Thembisile,Lukhele,19 09 1943,VMobile
Johannesburg,27767639036,08 12 2024,Thalente,Galu,23 01 1993,VMobile
Ekurhuleni,27767973262,31 05 2024,Nonjabulo,Nhlanhlampofu,17 05 1968,VMobile
Port Elizabeth,27769640012,16 12 2024,Kirsty,May,02 06 1945,VMobile
Ekurhuleni,27770570082,10 09 2023,Nomusa,Hlomuka,29 02 2004,VMobile
Johannesburg,27770950073,06 03 2025,Georgia,Price,17 06 1956,VMobile
Cape Town,27771192228,09 01 2025,Mario,Smith,25 10 2002,VMobile
Cape Town,27771583203,29 10 2023,Musa,Sondisa,22 05 1999,VMobile
Johannesburg,27772909252,11 09 2024,Amahle,Cwalile,01 10 1947,VMobile
Vereeniging,27774230241,09 11 2024,Njabulo,Sikobi,26 07 1946,VMobile
Cape Town,27775448067,01 04 2024,Silondile,Guliwe,29 06 1990,VMobile
Ekurhuleni,27775957924,27 10 2023,Amanda,Martinez,27 06 1984,VMobile
