Location;Cell Number;SIM Activation Date;First Name;Last Name;Birthday
Johannesburg;+27701302724;10 01 2024;Sibonelo;Jiyane;31 05 1965
Pretoria;+27702088773;15 11 2024;Gugulethu;Dimbani;17 11 1976
West Rand;+27702970958;16 04 2025;Nokulunga;Mhlungu;11 03 1977
Port Elizabeth;+27703320064;10 04 2024;Owethu;Khanyile;11 07 1997
Cape Town;+27704131178;22 09 2024;Lindsay;Blair;31 01 1976
Port Elizabeth;+27704753382;06 08 2024;Nomathalente;Shoba;06 09 1962
Durban;+27705752990;02 08 2023;Andrea;Calderon;06 09 1981
Pretoria;+27706327368;24 06 2024;Henry;Smith;01 02 1949
Witbank;+27706833765;14 01 2025;Michael;Galloway;29 06 1994
Port Elizabeth;+27707347477;24 08 2023;David;Nielsen;14 12 1944
Pietermaritzburg;+27707848987;21 10 2024;Nicole;Ward;04 09 1952
Port Elizabeth;+27709050860;01 12 2024;Andile;Mangethe;30 07 2002
Johannesburg;+27709367729;02 02 2024;Carlos;Johnson;28 01 1962
Cape Town;+27710091970;09 05 2024;Londiwe;Mabhoko;01 12 1940
Benoni;+27711214656;10 09 2023;Lungile;Shozi;09 11 1970
Polokwane;+27711572067;04 10 2024;Mitchell;Clark;04 10 1957
Johannesburg;+27711810165;23 08 2024;Thando;Vilakazi;01 07 1962
Bloemfontein;+27712305098;29 05 2024;William;Wilson;10 10 1941
Ekurhuleni;+27713173581;13 05 2025;Julia;Howard;06 03 1944
Nelspruit;+27714005115;29 03 2024;Gugu;Gcaleka;10 05 1950
Kimberley;+27714271871;02 04 2025;Patrick;Ferrell;07 08 1975
Rustenburg;+27716808757;05 11 2023;Guy;Kelly;25 07 1973
Soshanguve;+27717893653;11 07 2024;Simphiwe;Nondlela;30 12 2002
Durban;+27718448667;28 10 2023;Michael;Cooper;04 08 1957
Ekurhuleni;+27719118275;01 11 2023;Nomthandazo;Mbuyise;01 04 1940
Johannesburg;+27719729993;28 08 2024;Hannah;Young;04 05 1983
Bloemfontein;+27723956054;05 08 2024;Thuthukile;Nyambose;03 09 1976
Johannesburg;+27724778385;20 08 2023;Gugulethu;Hlophe;08 02 1961
Pretoria;+27727400477;21 03 2025;Ruth;Griffiths;20 01 1990
Pretoria;+27729448431;04 08 2023;Bhekizizwe;Mbokazi;02 03 1998
West Rand;+27729675831;06 09 2024;Nomagugu;Nkomo;02 07 1990
Cape Town;+27729817935;26 04 2025;Victor;Watts;25 05 1992
Cape Town;+27730744349;31 05 2024;Joshua;Booth;25 03 1991
Welkom;+27732045020;27 03 2024;Mandlakhe;Gotsholo;30 07 1994
