MSISDN;USAGE_EVENT_DATE_TIME;USAGE_EVENT_CITY_ID;USAGE_EVENT_TYPE_ID;USAGE_EVENT_TRACKING_QUANTITY;USAGE_EVENT_TRACKING_UNIT;USAGE_EVENT_BILLING_QUANTITY;USAGE_EVENT_BILLING_UNIT;USAGE_EVENT_REVENUE
+27745858892;18 07 2025 10:53;10;5;257;seconds;257;seconds;10,28
+27759277187;15 07 2025 13:52;10;5;241;seconds;241;seconds;7,23
+27709798813;16 07 2025 13:54;5;5;240;seconds;240;seconds;9,6
+27702126483;19 07 2025 13:37;35;1;201;MBs;201;MBs;18,09
+27774160565;14 07 2025 16:34;22;1;169;MBs;169;MBs;20,28
+27775270396;14 07 2025 17:39;8;1;107;MBs;107;MBs;13,91
+27700594567;16 07 2025 05:14;8;1;37;MBs;37;MBs;7,4
+27734810654;16 07 2025 05:34;8;8;179;seconds;179;seconds;30,43
+27740407777;14 07 2025 21:16;8;8;223;seconds;223;seconds;26,76
+27721198397;16 07 2025 01:32;28;8;78;seconds;78;seconds;12,48
+27764351821;17 07 2025 18:51;7;5;139;seconds;139;seconds;4,17
+27764351821;18 07 2025 06:50;7;4;195;seconds;4;minutes;2,08
+27717601695;14 07 2025 04:38;26;5;166;seconds;166;seconds;4,98
+27748057905;15 07 2025 00:34;17;8;127;seconds;127;seconds;13,97
+27748023717;17 07 2025 19:07;17;5;180;seconds;180;seconds;5,4
+27790022877;15 07 2025 03:21;17;1;91;MBs;91;MBs;17,29
+27771477596;14 07 2025 23:19;17;6;294;SMSs;294;SMSs;188,16
+27782940238;15 07 2025 23:12;9;1;234;MBs;234;MBs;18,72
+27722330476;16 07 2025 12:16;21;2;26;MBs;26;MBs;8,58
+27712755488;14 07 2025 03:04;11;8;49;seconds;49;seconds;6,37
+27749895634;15 07 2025 02:05;11;5;64;seconds;64;seconds;1,92
+27720125760;15 07 2025 16:36;11;5;225;seconds;225;seconds;13,5
+27759967153;18 07 2025 18:28;20;5;203;seconds;203;seconds;8,12
+27728547628;14 07 2025 11:32;20;5;200;seconds;200;seconds;6
+27723484978;15 07 2025 22:25;33;5;78;seconds;78;seconds;1,56
+27731726871;15 07 2025 19:37;33;4;294;seconds;5;minutes;4,4
+27788798367;18 07 2025 14:46;33;4;131;seconds;3;minutes;1,5
+27771192228;18 07 2025 08:46;33;6;135;SMSs;135;SMSs;76,95
+27769652162;17 07 2025 18:47;33;4;19;seconds;1;minutes;0,69
+27731726871;14 07 2025 16:37;33;5;84;seconds;84;seconds;3,36
+27768138021;19 07 2025 05:57;13;5;116;seconds;116;seconds;5,8
+27729619869;19 07 2025 14:08;19;8;32;seconds;32;seconds;4,48
+27787961134;17 07 2025 21:06;34;4;176;seconds;3;minutes;2,61
+27799314934;16 07 2025 06:54;16;8;121;seconds;121;seconds;21,78
+27754907568;15 07 2025 15:51;27;5;261;seconds;261;seconds;13,05
+27745481138;19 07 2025 03:49;31;1;281;MBs;281;MBs;33,72
+27736548736;18 07 2025 07:56;19;8;294;seconds;294;seconds;44,1
+27702983213;16 07 2025 16:08;11;4;285;seconds;5;minutes;4
+27729675831;17 07 2025 15:16;18;5;242;seconds;242;seconds;9,68
+27743417384;17 07 2025 04:00;35;4;62;seconds;2;minutes;1,38
+27790681902;15 07 2025 07:59;11;8;139;seconds;139;seconds;26,41
+27786740905;15 07 2025 13:32;35;1;131;MBs;131;MBs;18,34
+27791923440;15 07 2025 06:01;9;7;113;seconds;2;minutes;1,56
+27782686315;15 07 2025 01:36;23;5;138;seconds;138;seconds;2,76
+27798418621;18 07 2025 03:25;11;8;219;seconds;219;seconds;26,28
+27745495609;17 07 2025 18:39;31;9;205;SMSs;205;SMSs;153,75
+27733195138;16 07 2025 13:19;6;1;53;MBs;53;MBs;9,54
+27796677912;15 07 2025 19:52;33;5;261;seconds;261;seconds;10,44
+27745495609;16 07 2025 10:45;3;1;142;MBs;142;MBs;22,72
+27790681902;17 07 2025 23:39;17;5;52;seconds;52;seconds;2,6
+27788798367;19 07 2025 11:50;33;1;12;MBs;12;MBs;2,04
+27706374564;15 07 2025 22:19;18;1;294;MBs;294;MBs;52,92
+27720029924;18 07 2025 19:03;33;8;241;seconds;241;seconds;33,74
+27789793342;15 07 2025 02:13;21;2;257;MBs;257;MBs;97,66
+27755026696;17 07 2025 05:04;33;8;82;seconds;82;seconds;15,58
