First_Name,Last_Name,Cell_Phone_Number,Region,Total_Revenue,Total_SMS_Count,Total_Voice_Call_Count,Reporting_Date_Start,Reporting_Date_End
Roger,Pritchard,27700408017,Port Elizabeth,313.36,0,11,20250714,20250720
Sithembiso,Sabelo,27700498064,Cape Town,262.96,0,10,20250714,20250720
Thabani,Phewa,27700536653,Soshanguve,306.6,1,12,20250714,20250720
Donald,Lowe,27700594567,Ekurhuleni,193.56,0,7,20250714,20250720
Sibonelo,Jiyane,27701302724,Johannesburg,167.2,0,9,20250714,20250720
Erin,Carlson,27701422836,Soshanguve,200.14,1,6,20250714,20250720
Sibongile,Gxabhashe,27701525711,Welkom,385.11,1,11,20250714,20250720
Gugulethu,Dimbani,27702088773,Pretoria,546.73,2,7,20250714,20250720
Margaret,Wright,27702126483,Cape Town,303.38,0,8,20250714,20250720
Lewis,Evans,27702796440,Pietermaritzburg,291.35,0,12,20250714,20250720
Nokulunga,Mhlungu,27702970958,West Rand,299.52,1,6,20250714,20250720
Bandile,Kweyama,27702983213,Johannesburg,211.38,1,10,20250714,20250720
Luyanda,Madinane,27703027009,Cape Town,241.0,0,10,20250714,20250720
Owethu,Khanyile,27703320064,Port Elizabeth,142.23,0,6,20250714,20250720
Nomasonto,Ndandali,27703402404,Johannesburg,391.89,3,7,20250714,20250720
Busisiwe,Hadebe,27703678152,Boksburg,410.91,1,10,20250714,20250720
Lindsay,Blair,27704131178,Cape Town,352.66,1,3,20250714,20250720
Johw,Tran,27704465602,Tshwane,290.21,1,6,20250714,20250720
Jill,Young,27704552601,Johannesburg,297.1,0,11,20250714,20250720
Andile,Sangweni,27704702209,Johannesburg,387.32,1,12,20250714,20250720
Nomathalente,Shoba,27704753382,Port Elizabeth,288.46,0,11,20250714,20250720
Thabisile,Mtolo,27705295490,Cape Town,41.14,0,5,20250714,20250720
Bandile,Ngungunyana,27705723746,Soshanguve,239.28,0,6,20250714,20250720
Andrea,Calderon,27705752990,Durban,173.76,0,10,20250714,20250720
Zinhle,Dumisa,27705781665,Cape Town,413.97,1,7,20250714,20250720
Thembeka,Sontuli,27705989494,Pretoria,223.58,1,9,20250714,20250720
Henry,Smith,27706327368,Pretoria,281.83,0,10,20250714,20250720
Nozizwe,Hlela,27706347171,Ekurhuleni,279.79,0,10,20250714,20250720
